date,abx:firstopen_user,abx:login,abx:purchase
2018-05-01,1387,386,47
2018-05-02,161986,44707,6233
2018-05-03,166300,45264,6314
2018-05-04,170683,46182,6397
2018-05-05,170134,46467,6429
2018-05-06,169761,46888,6458
2018-05-07,168096,45991,6530
2018-05-08,168138,46332,6574
2018-05-09,139696,38361,5313
2018-05-10,154202,42384,5889
2018-05-11,79659,22031,3045
2018-05-12,169346,46352,6398
2018-05-13,169504,46229,6303
2018-05-14,89409,60316,22778
2018-05-15,72049,72133,31179
2018-05-16,73041,73114,31490
2018-05-17,41630,41713,18097
2018-05-18,26375,25607,10222
2018-05-20,161,143,52
2018-05-21,84913,115679,56051
2018-05-22,234,217,94
2018-05-23,65477,75181,33659
2018-05-24,52510,47864,17458
2018-05-25,57239,56779,22149
2018-05-26,51031,41317,11333
2018-05-27,51793,43845,12469
2018-05-28,88494,121096,59178
2018-05-29,52193,46620,16397
2018-05-30,24436,31125,15266
2018-05-31,16043,16064,7265
2018-06-01,15943,15963,7197
2018-06-02,16007,16021,7302
2018-06-03,15858,15868,7240
2018-06-04,22169,22180,9851
2018-06-05,16505,16523,7629
2018-06-06,16160,16166,7457
2018-06-07,16201,16214,7481
2018-06-08,16232,16249,7577
2018-06-09,16269,16280,7529
2018-06-10,16386,16396,7662
2018-06-11,16286,16303,7605
2018-06-12,16382,16393,7703
2018-06-13,309,378,166
,581,139,20
